cluster,size,mean_silhouette,feature_variance,outlier_rate,archetype,cohesion_level,review,name,name_confidence,interpretation,top_features
0,23,0.6718817897464918,0.7719562649726868,,Balanced,low,auto,Clinical / Care (Social Perceptiveness),1.2834107729590873,Roles dominated by clinical / care (social perceptiveness) signals with a balanced competency pattern.,"knowledge_philosophy_and_theology_im, knowledge_therapy_and_counseling_im, knowledge_therapy_and_counseling_lv, knowledge_sociology_and_anthropology_im, skill_social_perceptiveness_im, knowledge_philosophy_and_theology_lv, knowledge_psychology_im, skill_social_perceptiveness_lv, knowledge_psychology_lv, knowledge_education_and_training_im"
1,84,0.5598648852180867,0.6266517639160156,,Generalist,mid,auto,Operations Control / Monitoring,1.5634976806531549,Roles dominated by operations control / monitoring signals with a generalist competency pattern.,"ability_rate_control_im, ability_rate_control_lv, knowledge_production_and_processing_im, ability_reaction_time_im, ability_reaction_time_lv, ability_control_precision_im, skill_operation_and_control_im, ability_arm-hand_steadiness_im, skill_operations_monitoring_im, ability_wrist-finger_speed_im"
2,39,0.531987067270212,0.6045657992362976,,Generalist,mid,auto,Software / Systems (Technology Design) [Quantitative],1.498273061987357,Roles dominated by software / systems (technology design) [quantitative] signals with a generalist competency pattern.,"knowledge_engineering_and_technology_im, knowledge_engineering_and_technology_lv, knowledge_physics_lv, skill_technology_design_lv, knowledge_physics_im, skill_mathematics_lv, knowledge_design_lv, ability_mathematical_reasoning_lv, skill_science_lv, skill_mathematics_im"
3,61,0.6993588683058004,0.22143997251987457,,Generalist,high,auto,Food Production & Service,0.689563247042999,Roles dominated by food production & service signals with a generalist competency pattern.,"knowledge_food_production_im, ability_stamina_im, knowledge_food_production_lv, knowledge_customer_and_personal_service_im, ability_trunk_strength_im, ability_gross_body_coordination_im, ability_stamina_lv, ability_trunk_strength_lv, ability_gross_body_coordination_lv, ability_extent_flexibility_lv"
4,30,0.9277536511421204,0.6622129678726196,,Balanced,mid,auto,Medicine & Dentistry — Clinical / Care [Analytical],1.7898785936339188,Roles dominated by medicine & dentistry — clinical / care [analytical] signals with a balanced competency pattern.,"knowledge_medicine_and_dentistry_lv, knowledge_medicine_and_dentistry_im, knowledge_therapy_and_counseling_im, knowledge_therapy_and_counseling_lv, knowledge_psychology_im, knowledge_psychology_lv, knowledge_biology_im, ability_problem_sensitivity_lv, knowledge_biology_lv, skill_social_perceptiveness_im"
5,32,0.7660693153738976,0.35513293743133545,,Balanced,high,auto,Administrative & Customer Support,0.5916864744616346,Roles dominated by administrative & customer support signals with a balanced competency pattern.,"knowledge_administrative_im, knowledge_administrative_lv, knowledge_economics_and_accounting_im, knowledge_customer_and_personal_service_im, knowledge_economics_and_accounting_lv, knowledge_customer_and_personal_service_lv, ability_speech_recognition_im, skill_service_orientation_im, skill_active_listening_im, skill_service_orientation_lv"
6,24,0.9452375620603561,0.20981982350349426,,Balanced,high,auto,Medicine & Dentistry — Clinical / Care [Hands-on],1.795211485471619,Roles dominated by medicine & dentistry — clinical / care [hands-on] signals with a balanced competency pattern.,"knowledge_medicine_and_dentistry_im, knowledge_medicine_and_dentistry_lv, knowledge_biology_im, ability_near_vision_lv, ability_near_vision_im, knowledge_biology_lv, knowledge_chemistry_im, skill_science_im, skill_science_lv, ability_arm-hand_steadiness_lv"
7,34,0.5738447099266684,0.6475050449371338,,Generalist,mid,auto,Mechanical Systems — Field Service / Maintenance (Installation),1.6647923598653167,Roles dominated by mechanical systems — field service / maintenance (installation) signals with a generalist competency pattern.,"skill_installation_im, skill_installation_lv, skill_repairing_im, skill_repairing_lv, skill_equipment_maintenance_im, skill_troubleshooting_im, skill_equipment_selection_im, skill_equipment_maintenance_lv, ability_sound_localization_lv, knowledge_mechanical_im"
8,53,0.44812115383738615,0.6647303104400635,,Generalist,low,auto,Sales / Account (Negotiation) [Creative],1.3250099117908931,Roles dominated by sales / account (negotiation) [creative] signals with a generalist competency pattern.,"skill_negotiation_im, skill_negotiation_lv, skill_persuasion_im, skill_persuasion_lv, skill_management_of_financial_resources_im, skill_management_of_financial_resources_lv, skill_coordination_im, knowledge_administration_and_management_im, skill_time_management_im, knowledge_personnel_and_human_resources_lv"
9,20,0.6779342159628868,1.0723416805267334,,Specialist,low,auto,Driving / Spatial-Visual (Transportation) [Physical],1.5157757001141074,Roles dominated by driving / spatial-visual (transportation) [physical] signals with a specialist competency pattern.,"ability_peripheral_vision_lv, ability_spatial_orientation_im, ability_depth_perception_im, ability_night_vision_lv, ability_glare_sensitivity_lv, ability_peripheral_vision_im, ability_response_orientation_im, ability_glare_sensitivity_im, ability_spatial_orientation_lv, ability_rate_control_im"
