employee_id,job_title,department,education_level,location,seniority_level,gender,years_experience,performance_score,salary
10000,Mobile Developer,IT,Master,Nabeul,Mid,M,7,2.71,8776
10001,Data Scientist,IT,PhD,Tunis,Senior,F,8,3.67,11460
10002,DevOps Engineer,Data,Master,Sfax,Junior,F,0,3.59,6003
10003,Mobile Developer,Data,Bachelor,Sfax,Senior,M,15,3.34,12067
10004,Frontend Developer,Engineering,Bachelor,Sfax,Junior,M,5,3.73,5958
10005,DevOps Engineer,Data,Master,Nabeul,Junior,F,7,3.6,7064
10006,DevOps Engineer,Engineering,Master,Tunis,Mid,M,14,2.52,10217
10007,Mobile Developer,R&D,Bachelor,Nabeul,Junior,M,11,3.09,7608
10008,Backend Developer,Engineering,Master,Sousse,Senior,F,9,3.03,10424
10009,Frontend Developer,R&D,PhD,Tunis,Mid,F,15,3.37,11437
10010,Mobile Developer,Engineering,Bachelor,Nabeul,Junior,M,14,2.94,7864
10011,Frontend Developer,IT,Master,Tunis,Junior,M,10,2.67,6879
10012,Frontend Developer,Data,Bachelor,Sousse,Mid,M,6,2.99,6616
10013,DevOps Engineer,R&D,Bachelor,Ariana,Senior,M,7,4.64,10000
10014,Data Scientist,Engineering,Bachelor,Sfax,Mid,M,10,4.49,10340
10015,Frontend Developer,Data,Bachelor,Nabeul,Mid,M,8,3.61,8763
10016,QA Engineer,Engineering,Master,Sousse,Senior,M,6,4.69,11019
10017,DevOps Engineer,Data,Bachelor,Sousse,Mid,M,14,3.08,9594
10018,Backend Developer,Data,Bachelor,Tunis,Junior,M,14,3.96,9428
10019,Data Scientist,Engineering,Bachelor,Tunis,Mid,M,15,2.86,9952
10020,QA Engineer,R&D,Bachelor,Sfax,Mid,M,2,4.58,7156
10021,QA Engineer,R&D,Bachelor,Tunis,Mid,M,15,2.83,9310
10022,Backend Developer,IT,Master,Nabeul,Mid,F,14,2.58,9123
10023,Data Scientist,Data,Bachelor,Nabeul,Senior,M,0,3.18,8179
10024,DevOps Engineer,IT,Master,Nabeul,Junior,F,13,4.75,10195
10025,ML Engineer,IT,Master,Ariana,Senior,F,10,2.82,11099
10026,Data Scientist,Engineering,Bachelor,Nabeul,Mid,M,2,3.33,7033
10027,Backend Developer,Engineering,Master,Tunis,Mid,F,8,3.29,9847
10028,QA Engineer,Engineering,Bachelor,Tunis,Junior,M,5,4.5,6825
10029,DevOps Engineer,Data,Bachelor,Nabeul,Junior,M,15,3.55,8848
10030,Data Scientist,Engineering,Bachelor,Sousse,Senior,M,10,4.03,11496
10031,ML Engineer,Engineering,Bachelor,Sousse,Mid,M,17,3.51,11641
10032,ML Engineer,Data,Bachelor,Sousse,Junior,M,16,3.88,9568
10033,Frontend Developer,Data,Master,Sfax,Mid,M,16,2.66,11000
10034,Frontend Developer,R&D,Bachelor,Ariana,Junior,F,2,3.44,4955
10035,Mobile Developer,Engineering,Master,Nabeul,Senior,F,18,4.64,13845
10036,Backend Developer,Engineering,Bachelor,Sfax,Senior,M,14,4.23,12430
10037,Data Scientist,Engineering,Master,Sousse,Junior,M,9,4.95,8941
10038,Data Scientist,R&D,Bachelor,Nabeul,Senior,M,7,4.47,11537
10039,Mobile Developer,Engineering,Bachelor,Sfax,Senior,M,16,3.63,12895
10040,QA Engineer,R&D,Bachelor,Tunis,Junior,F,3,4.19,5452
10041,QA Engineer,IT,Bachelor,Sousse,Mid,M,7,4.44,8701
10042,Mobile Developer,R&D,Bachelor,Sfax,Mid,M,1,3.17,6231
10043,QA Engineer,IT,Master,Tunis,Mid,F,7,2.65,8124
10044,Frontend Developer,Engineering,Bachelor,Sousse,Junior,F,6,3.51,5930
